Paper Publish Year,DOI,Category (Carbohydrate Mimetic),Mimic of which Carbohydrate,Name of the Carbohydrate Mimetic,Functions,Activity
2014,https://doi.org/10.1021/jo402574h,Hybrid molecule,Resembles sugars,Sugar−piperidine derivative (20a),Glycosidase inhibitor,Potential treatment for Gaucher disease and other lysosomal storage disorders by selectively inhibiting β-glucosidase (IC50 = 38.8 μM). May act as a pharmacological chaperone to stabilize mutant glucocerebrosidase enzymes and improve their trafficking to lysosomes.
2015,https://doi.org/10.3762/bjoc.11.72,Divalent carbohydrate mimetics,Based on aminopyran and serinol,Divalent carbohydrate mimetics connected to carboxylic acid cores by amide bonds derived from aminopyran and serinol,"These mimetics are designed to act as inhibitors of selectins, which are crucial in the inflammatory process.","The divalent amide showed surprisingly good activities with IC50 values in the micromolar range, indicating potential effectiveness as L-selectin inhibitors for treating inflammatory conditions"
2015,https://doi.org/10.3762/bjoc.11.72,Trivalent carbohydrate mimetics,Based on aminopyran and serinol,Trivalent carbohydrate mimetics connected to carboxylic acid cores by amide bonds derived from aminopyran and serinol,"These mimetics are designed to act as inhibitors of selectins, which are crucial in the inflammatory process.",Micromolar IC50 values suggest potential as L-selectin inhibitors for treating inflammatory conditions
2015,https://doi.org/10.1002/ejoc.201403186,C-Glycosides,D-talose,Aryl C-glycosides,"Enhanced stability against enzymatic degradation
Improved oral bioavailability","Potential anticancer, antioxidant, antiviral, and hypoglycemic effects; May act as enzyme inhibitors for various diseases"
2015,https://doi.org/10.1002/ejoc.201403186,C-Glycosides,D-talose.,"Bicyclic 1,2-oxazines","Enhanced stability against enzymatic degradation
Improved oral bioavailability","Potential anticancer, antioxidant, antiviral, and hypoglycemic effects; May act as enzyme inhibitors for various diseases"
2015,https://doi.org/10.1002/ejoc.201403186,Aminopyrans,Sialyl Lewis X,O-sulfated aminopyrans,Mimic carbohydrate structures involved in cell adhesion,"Extremely high binding affinities towards L- and P-selectin, with potential applications in treating chronic inflammation (e.g., asthma)"
2015,https://doi.org/10.1002/ejoc.201403186,Sialyl Lewis X Analogs,Sialyl Lewis X,Synthetic analogs of sialyl Lewis X,Inhibit selectin-mediated cell adhesion,Potential therapeutic agents for inflammatory diseases
2015,http://dx.doi.org/10.1055/s-0034-1380201., N-alkylated compounds,Pyranose,"Secondary amine 9, obtained from the reaction of aminopyran with pentanal",Potential glycosidase inhibitor,May help in managing metabolic disorders like diabetes by regulating carbohydrate digestion
2015,http://dx.doi.org/10.1055/s-0034-1380201., N-alkylated compounds,Pyranose,"Secondary amine 10, obtained from the reaction of aminopyran with benzaldehyde",Potential glycosidase inhibitor,May help in managing metabolic disorders like diabetes by regulating carbohydrate digestion
2015,http://dx.doi.org/10.1055/s-0034-1380201., N-alkylated compounds,Pyranose,"Secondary amine 11, obtained from the reaction of aminopyran with 4-bromobenzaldehyde",Potential glycosidase inhibitor,May help in managing metabolic disorders like diabetes by regulating carbohydrate digestion
2015,https://doi.org/10.1002/chem.201500831,Carbohydrate mimetic,Neuraminic acid,Zanamivir (Relenza),Targets influenza viral neuraminidase,Antiviral activity against influenza viruses
2015,https://doi.org/10.1002/chem.201500831, Carbohydrate mimetic,Neuraminic acid,Oseltamivir (Tamiflu),Targets influenza viral neuraminidase,Antiviral activity against influenza viruses
2015,https://doi.org/10.1002/chem.201500831,Glycolipid mimic,a-GalCer,Synthetic C-glycoside analogues of a-GalCer glycolipid,Stimulates human NKT cells,activity in malaria and melanoma models
2015,https://doi.org/10.1002/bmb.20915,Dimeric Aminoglycosides,natural carbohydrates,Dimeric Aminoglycosides,"The primary function of these dimeric aminoglycosides is to inhibit the interaction between the HIV Trans-activator of transcription (Tat) protein and the Trans Activation Responsive (TAR) RNA. This interaction is crucial for the activation of transcription in the HIV life cycle, making it a valuable target for therapeutic intervention.","The activity of these carbohydrate-based dimeric target molecules lies in their ability to block the Tat-TAR interaction, thereby exerting antiviral effects. The inhibition of this interaction can potentially prevent the replication of the virus, contributing to therapeutic strategies against HIV."
2015,https://doi.org/10.1016/j.toxicon.2015.08.003,Carbohydrate receptor mimic,Galactose-containing carbohydrates,Lactulose (LAU),"Inhibits the oral toxicity of botulinum neurotoxin A (BoNT/A) by binding to the HA complex, preventing it from compromising the integrity of epithelial cell monolayers and blocking internalization.",Demonstrated protective effects against BoNT/A oral intoxication in vivo
2015,https://doi.org/10.1016/j.toxicon.2015.08.003,Non-metabolizable Gal analog,Galactose,Iso-propyl β-D-1-thiogalactopyranoside (IPTG),Inhibits the oral toxicity of BoNT/A by competing with endogenous carbohydrate receptors on the cell surface,Significantly extended the median survival time of mice in oral intoxication models
2015,https://doi.org/10.1016/j.copbio.2014.11.016,Synthetic Lectin,Glucose and its epimers,Boronic Acid-Based Receptors,These receptors utilize boronate ester formation to bind carbohydrates.,Potential applications in diabetes monitoring and management through selective glucose sensing. May also have uses in developing targeted drug delivery systems or diagnostic tools for diseases involving altered glucose levels or metabolism.
2015,https://doi.org/10.1016/j.copbio.2014.11.016,Synthetic Receptor,Equatorial glucosides,Tripodal Benzene Receptors,Designed to bind equatorial glucosides using noncovalent interactions.,Exploitable for targeted drug delivery and carbohydrate sensing
2015,https://doi.org/10.1016/j.copbio.2014.11.016,Synthetic Receptor,All-equatorial carbohydrates,Temple Receptors,These receptors are structured to bind carbohydrates effectively using a combination of hydrophobic and polar interactions.,"Potential for targeted drug delivery, cellular imaging, or carbohydrate-based therapeutics for diseases"
2015,https://doi.org/10.1016/j.copbio.2014.11.016,Synthetic Receptor,Beta-mannosides,Pyrrolic Tripodal Receptor,Specifically recognizes beta-mannosides.,"Potential for targeted drug delivery, biosensing, and diagnostic applications related to mannoside-mediated processes. May be used to target cancer cells that overexpress mannose receptors or to modulate immune responses."
2015,https://doi.org/10.1021/acs.orglett.5b02223,S-linked hexasaccharide,Hexasaccharide subunit of landomycin A,S-linked hexasaccharide of landomycin A,Designed to be resistant to acid-mediated or enzymatic hydrolysis,"The mimetic is associated with antitumor activity against cancer cell lines, as landomycin A possesses a broad spectrum of antitumor activity"
2015,http://dx.doi.org/10.1517/17460441.2015.1067198,Adjuvant,"Trehalose-6,6'-dibehenate (TDB)",Trehalose,Adjuvant in vaccine formulations.,"Enhances immune responses, particularly in tuberculosis vaccines."
2015,https://doi.org/10.1002/chem.201500831,Glycomimetic drug,Sialyl Lewis x (sLe^x),GMI-1070 (Rivipansel),Potent pan-selectin antagonist,Reverses vaso-occlusion in sickle cell disease and is in clinical trials for this condition
2015,https://doi.org/10.1002/chem.201500831,Glycomimetic drug,Sialyl Lewis x (sLe^x),GMI-1271,Specific E-selectin inhibitor,Evaluated in clinical trials in combination with chemotherapy for treating acute myeloid leukemia
2015,https://doi.org/10.1002/chem.201500831,Synthetic carbohydrate mimic,2G12 epitope,Unnatural oligomannose mimics,Targeting high-mannose epitopes for immune response,aimed at improving immune response against HIV.
2015,https://doi.org/10.1002/chem.201500831,Glycomimetic compound,Sialic acid,High-affinity sialic acid mimetics,Inhibitor of myelin-associated glycoprotein (MAG),Promotes neurite outgrowth; potential therapeutic applications in neuronal repair and spinal cord injury.
2015,https://doi.org/10.1002/chem.201500831,Synthetic glycoprotein mimic,Glycan structures found on PSGL-1,Synthetic P-selectin–glycoprotein–ligand-1 (PSGL-1) mimics,Diagnostic probe for in vivo inflammatory brain damage,Used for detection of early P-selectin expression in inflammatory brain lesions and cerebral malaria pathology in mice.
2015,https://doi.org/10.1002/chem.201500831,Glycan-based therapeutic,Various carbohydrate structures (often mimicking natural glycan epitopes),Multivalent Glycoconjugates,Designed to enhance affinity for protein targets by mimicking the multivalent nature of interactions between lectins and their natural carbohydrate ligands,"Developed to improve the overall affinity of glycan therapeutics, with examples including glycodendrimers and glycoclusters."
2016,https://doi.org/10.1021/acs.joc.6b00302,Fluorinated Carbohydrate Mimic,D-threo-hexopyranose,"2,3-dideoxy -2,2,3,3-tetrafluoro D -thereo hexopyranose",Potential inhibitor of carbohydrate-processing enzymes,"May have therapeutic potential in treating diseases involving carbohydrate metabolism, such as diabetes or viral infections"
2016,https://doi.org/10.1021/acs.joc.6b00302,Fluorinated Carbohydrate Mimic,D-threo-hexofuranose,"2,3-dideoxy -2,2,3,3-tetrafluoro D -thereo hexofuranose",Potential inhibitor of carbohydrate-processing enzymes,"May have therapeutic potential in treating diseases involving carbohydrate metabolism, such as diabetes or viral infections"
2016,https://doi.org/10.1021/acs.joc.6b00302,Fluorinated Carbohydrate Mimic,D-erythro-hexopyranose,"2,3-dideoxy -2,2,3,3-tetrafluoro D -erythro hexopyranose",Potential inhibitor of carbohydrate-processing enzymes,"May have therapeutic potential in treating diseases involving carbohydrate metabolism, such as diabetes or viral infections"
2016,https://doi.org/10.1021/acs.joc.6b00302,Fluorinated Carbohydrate Mimic,D-threo-hexopyranose,"3,4-dideoxy -3,3,4,4-tetrafluoro D -threo hexopyranose",Potential inhibitor of carbohydrate-processing enzymes,"May have therapeutic potential in treating diseases involving carbohydrate metabolism, such as diabetes or viral infections"
2016,https://doi.org/10.1021/acs.joc.6b00302,Fluorinated Carbohydrate Mimic,D-erythro-hexopyranose,"3,4-dideoxy -3,3,4,4-tetrafluoro D -erythro hexopyranose",Potential inhibitor of carbohydrate-processing enzymes,"May have therapeutic potential in treating diseases involving carbohydrate metabolism, such as diabetes or viral infections"
2016,https://doi.org/10.1021/acs.joc.6b00302,Fluorinated Nucleotide Sugar Mimetics,UDP-Galactose (UDP-Gal),dideoxy-tetrafluorinated uridine diphosphate (UDP)-Gal analogues,Inhibitor of the enzyme UDP-galactopyranose mutase (UGM),Potential antimycobacterial agent with improved activity against tuberculosis
2016,DOI: 10.1016/j.tibtech.2016.01.004,Fucose-based glycomimetic,Lewis X oligosaccharide,α-fucosyl-β-alanyl amide,Targets DC-SIGN without inducing dendritic cell maturation and IL-10 production,"Acts as a potent DC-SIGN targeting device, suggesting potential use in targeted imaging or antigen delivery"
2016,DOI: 10.1016/j.tibtech.2016.01.004,Mannose-based glycomimetic,"1,2-mannobioside and linear Man-α-1,2-Man-α-1,6-Man trisaccharide",Mannose-based glycomimetic antagonists,Antagonists of protein-sugar interactions,Effective in hampering microbial adhesion
2016,https://doi.org/10.1016/j.cbpa.2016.08.027,Non-natural sugar,N-acetylglucosamine,GlcNAz (N-acetylglucosamine azide),Metabolically incorporated into cells for labeling and detection.,Used in glycobiology research to study glycosylation processes in cancer and immune responses
2016,https://doi.org/10.1016/j.cbpa.2016.08.027,Non-natural sugar,N-acetylmannosamine,ManNAz (N-acetylmannosamine azide),Metabolically incorporated into cells.,Used in glycobiology research to study glycosylation processes in cancer and immune responses
2016,https://doi.org/10.1016/j.cbpa.2016.08.027,Non-natural sugar,N-acetylgalactosamine,GalNAz (N-acetylgalactosamine azide),Metabolically incorporated into cells.,Facilitates the labeling of glycoproteins and tracking of glycosylation
2016,https://doi.org/10.1016/j.cbpa.2016.08.027,Non-natural sugar,N-acetylmannosamine,ManNAl (N-acetylmannosamine alkyne),Used for metabolic incorporation and subsequent 'click' reactions.,Allows for the study of cell surface glycans and their role in diseases
2016,https://doi.org/10.1016/j.cbpa.2016.08.027,Non-natural sugar,N-acetylmannosamine,ManNCyoc (N-acetylmannosamine cyano),Metabolically incorporated into cells.,"Used in studies of glycosylation and cellular interactions, impacting diseases processes"
2016,https://doi.org/10.1016/j.cbpa.2016.08.027,Non-natural sugar,N-acetylmannosamine,ManNMCp (N-acetylmannosamine methylcyclopropene),Metabolically incorporated into cells.,Facilitates the study of glycosylation patterns
2016,https://doi.org/10.1016/j.cbpa.2016.08.027,Non-natural sugar,N-acetylmannosamine,ManNCp (N-acetylmannosamine cyclopropene),Used for metabolic incorporation.,Allows for the tracking of modified glycans in the context of cancer and other diseases
2016,https://doi.org/10.1016/j.cbpa.2016.08.027,Non-natural sugar,Sialic acid,BCNSia (a specific sialic acid mimic),Used in studies of glycosylation.,Helps in understanding the role of sialylation in cellular processes related to cancer and immune responses
2016,https://doi.org/10.1016/j.cbpa.2016.08.027,Nucleotide sugar,Xylose,UDP-4-XylAz (uridine diphosphate 4-xylose azide),Used for metabolic incorporation into glycan structures.,Facilitates the study of glycan biosynthesis
2016,https://doi.org/10.1016/j.cbpa.2016.08.027,Non-natural sugar,Glucosamine,GlcN-n-Iso ,Used for metabolic incorporation into cellular processes.,"it can be utilized in studies related to glycosylation and may serve as a tool for investigating glycan interactions and modifications in biological systems, particularly within cancer cells."
2016,https://doi.org/10.1021/acs.joc.6b01876,Carbasugar,α-Galactose,(−)-MK7607,Potent herbicidal activity,"Isolated from the cultures of Curvularia eragrostidis D2452, it has considerable interest due to its herbicidal properties"
2016,https://doi.org/10.1021/acs.joc.6b01876,Carbasugar,Cyclitol,(−)-Epoxydine B,Glycosidase inhibitor,"Exhibits antibacterial, antifungal, and antialgal  activities; potential for treating infections"
2016,https://doi.org/10.1021/acs.joc.6b01876,Carbasugar,Cyclitol,(−)-Epoxydine C,Glycosidase inhibitor,"Exhibits antibacterial, antifungal, and antialgal  activities; potential for treating infections"
2017,https://doi.org/10.1021/acscentsci.7b00214,irreversible glycosidase inhibitors,α-glucosidase,"1,6-Epi-Cyclophellitol Cyclosulfate (α-cyclosulfate)","Cyclophellitol cyclosulfates are designed to mimic the carbohydrate substrate of α-glucosidases, acting as inhibitors of these enzymes",Potent nanomolar α-glucosidase inhibitor with potential therapeutic applications in treating lysosomal storage disorders and other diseases involving α-glucosidase activity
2017,https://doi.org/10.1021/acscentsci.7b00214,irreversible glycosidase inhibitors,α-glucosidase,"1,6-Cyclophellitol Cyclosulfate (β-cyclosulfate)","Cyclophellitol cyclosulfates are designed to mimic the carbohydrate substrate of α-glucosidases, acting as inhibitors of these enzymes","Modest inhibitor of β-glucosidases with potential applications in treating Gaucher disease and other lysosomal storage disorders, albeit less effective than α-cyclosulfate"
2017,https://doi.org/10.1021/acscentsci.7b00214,β-glucosidase inhibitors.,"β-Glucose substrates in their transition state, specifically the 4H3 conformation adopted by retaining β-glucosidase substrates.",Cyclophellitol Aziridine,"Mimics the transition state of β-glucose substrates to bind and inhibit β-glucosidases. Forms a covalent adduct with the enzyme, leading to permanent inhibition through nucleophilic attack and ring opening.","Potential treatment for lysosomal storage disorders, particularly Gaucher disease, by inhibiting glucocerebrosidase (GBA1) and non-lysosomal glucosylceramidase (GBA2)"
2017,https://doi.org/10.1002/chem.201703129,"five-membered heterocycles containing one double bond, 
one oxygen and one phosphorus atom",Furanose carbohydrate,"Oxaphospholenes 
3-4",serve as precursors for furanose carbohydrate mimics,Potential applications in developing anti-cancer and anti-diabetic drugs by mimicking furanose-based enzyme substrates or inhibitors
2017,https://doi.org/10.1039/C7OB00386B,Glycolipid mimetics,Monosaccharides,Penaresidins,"Actomyosin ATPase activator, potential biomarker","Cytotoxicity against cancer cell lines, potential biomarker for cervical cancer, antimicrobial activity against Mycobacterium tuberculosis"
2017,https://doi.org/10.1039/C7OB00386B,Glycolipid mimetics,Monosaccharides,Penazetidine A,Protein kinase C inhibitor,"Cytotoxicity against human and murine cell lines (A549, HT-29, B16/F10, P388), potential anticancer activity"
2017,https://doi.org/10.1039/C7OB00386B,Nucleoside analogue,guanosine,Oxetanocin A,Inhibits viral DNA polymerases and reverse transcriptases,"Potent antiviral activity against HIV, HSV-1, HSV-2, and HCMV; potential antitumor and antibacterial properties"
2017,https://doi.org/10.1039/C7OB00386B,Glycoside analogue,Monosaccharides,Oxetanosides,Related to the synthesis of oxetanocin A and its analogues.,"Potential antiviral, antitumor, and antibacterial activities"
2017,https://doi.org/10.1039/C7OB00386B,Nitrogen-containing square sugars,Monosaccharides,Azetidine-based sugars,"Designed as constrained analogues of iminosugars, which are a major class of carbohydrate mimics.","Some azetidine derivatives have shown biological activities, including inhibition of enzymes like E. coli β-glucuronidase"
2017,https://doi.org/10.1039/C7OB00386B,Azetidine-based sugar,Monosaccharides,Azetidinol,Inhibits β-N-acetylhexosaminidases,Potential treatment for lysosomal storage disorders like Tay-Sachs disease
2017,https://doi.org/10.1039/C7OB00386B,Azetidine derivative,Monosaccharides,Bicyclic azetidine,Amyloglucosidase inhibitor,Potential treatment for diabetes by regulating carbohydrate digestion
2017,https://doi.org/10.1039/C7OB00386B,Thietanose analogue,furanose sugars,Thietanose,Designed as a carbohydrate mimic with potential applications in organic chemistry.,Potential anti-HIV activity
2017,https://doi.org/10.1039/C7OB00386B,Thiethane analogue,furanose sugars,Pseudothietanose,Related to the synthesis of thietanose analogues.,Potential anti-HIV activity
2017,https://doi.org/10.1039/C7OB00386B,Cyclobutane derivatives,Monosaccharides,Highly-functionalized cyclobutanes,Explored for their potential in medicinal chemistry.,"May improve drug properties such as metabolic stability and conformational restriction, with potential applications in various diseases including cancer, viral infections, and neurodegenerative disorders"
2017,https://doi.org/10.1080/1040841X.2016.1242868,Iminosugar,Deoxynojirimycin (DNJ),"N-butyl-deoxynojirimycin (N B-DNJ, Miglustat)",Inhibitor of glycosphingolipid biosynthesis and glucosidases,"Used in the treatment of type I Gaucher disease and Niemann-Pick type C disease; has demonstrated antiviral activity against various viruses, including HIV-1 and DENV"
2017,https://doi.org/10.1080/1040841X.2016.1242868,Iminosugar,Deoxynojirimycin (DNJ),N-hydroxyethyldeoxynojirimycin (Miglitol),Inhibitor of glucosidases,Used in the treatment of non-insulin-dependent diabetes
2017,https://doi.org/10.1080/1040841X.2016.1242868,Iminosugar,Castanospermine,6-O-butanoyl castanospermine (BuCAST),Inhibitor of glycosphingolipid biosynthesis and glucosidases,Reduced murine brain viral load of herpes simplex virus type 1 (HSV-1) following cutaneous infection; tested in vivo against a range of influenza virus strains with reduced pathology and increased survival in murine lethal infection models
2017,https://doi.org/10.1080/1040841X.2016.1242868,Iminosugar,Sialic acid,3-episiastatin B,Neuraminidase inhibitor,Potent inhibitory activities against influenza virus neuraminidases and influenza virus infection
2017,https://doi.org/10.1080/1040841X.2016.1242868,Iminosugar,Deoxynojirimycin (DNJ),N-nonyl-deoxynojirimycin (N N-DNJ),Inhibitor of glycosphingolipid biosynthesis and glucosidases,Reduced secretion of glycoproteins E and NS1 and virion production in dengue virus (DENV) and Japanese encephalitis virus (JEV); reduced mortality rate in a JEV mouse lethal challenge model
2017,https://doi.org/10.1080/1040841X.2016.1242868,Iminosugar,Deoxynojirimycin (DNJ),N-(9-methoxynonyl)-1-deoxynojirimycin (M O N-DNJ),Inhibitor of glycosphingolipid biosynthesis and glucosidases,Demonstrated protective effects against lethal doses of H1N1 influenza viruses and reduced mortality rate in a mouse lethal challenge model
2017,https://doi.org/10.1016/j.carres.2017.03.012,Inositol Mimic,L-rhamnopyranose,D-pinitol,Potential sugar substitute,Potential applications in diabetes management due to its insulin-like effects and in treating polycystic ovary syndrome
2017,https://doi.org/10.1016/j.carres.2017.03.012,Azasugars,Various sugars,Azasugars,Inhibition of glycosidases,Used in treatments for type 1 Gaucher disease (Zavesca®) and type II diabetes (Glyset)
2017,https://doi.org/10.1016/j.carres.2017.03.012,Carbasugars,Various sugars,Carbasugars,"Enhanced biostability and inhibition of specific enzymes (e.g., Ser/Thr protein kinase, SGLT2, heparanase)","Potential treatments for cancer, diabetes, and inflammatory diseases due to their increased chemical stability and specific enzyme inhibition"
2017,https://doi.org/10.1016/j.carres.2017.03.012,Inositol Mimic,Rhamnopyranoside residue of a trisaccharide,Inositol Analogues,Potential use in synthetic vaccines,"May lead to more effective and stable vaccines against bacterial infections, particularly those with capsular polysaccharides"
2017,https://doi.org/10.1021/acs.orglett.7b00945,Cyclitol analogue,Rhamnose,2a (n-Pr cyclitol diacetate),Designed to improve bioavailability and inhibit RSK1/2 activity.,"Potential anticancer agent due to improved RSK inhibition, which may suppress tumor growth and metastasis"
2017,https://doi.org/10.1021/acs.orglett.7b00945,Cyclitol analogue,Rhamnose,2b (C-3/C-4 bis-carbamate),Aimed at enhancing stability and RSK inhibition.,"Promising anticancer activity through RSK inhibition, potentially effective in treating various types of cancer"
2017,https://doi.org/10.1021/acs.orglett.7b00945,Carbasugar analogue,"Sugars in general, particularly rhamnose derivatives.",5a-carbasugar analogues,To explore structure-activity relationships and improve RSK1/2 inhibition.,Part of ongoing research to develop more effective anticancer treatments targeting RSK-mediated pathways
2017,https://doi.org/10.1021/acs.orglett.7b00945,Structural modification,Rhamnose (specifically the C-3 and C-4 positions),C-3/C-4-n-Pr-carbamates,To enhance the stability and efficacy of the analogues.,Potential improvement in anticancer activity through more stable and effective RSK inhibition
2018,https://doi.org/10.1002/ejoc.201701601,Glycosidase Inhibitors,Retaining β-glucopyranosides,Carba-cyclophellitol 4,Acts as a competitive inhibitor of retaining β-glucosidases.,Binds tightly to the enzyme active site in a 4H3 conformation and inhibits enzyme activity.
2018,https://doi.org/10.1002/ejoc.201701601,Glycosidase Inhibitors,Retaining β-glucopyranosides,Cyclophellitol Aziridine (2),Acts as an irreversible covalent inhibitor of retaining β-glucosidases.,"Inhibits enzyme by forming a covalent bond with the active site, rendering it inactive."
2018,https://doi.org/10.1002/ejoc.201701601,Glycosidase Inhibitors,α-glucopyranose and β-glucopyranose configured analogues,α-Carba-Cyclophellitol,Competitive inhibition of retaining β-glucosidases.,"Binds to the active site, preventing substrate binding and enzyme activity."
2018,https://doi.org/10.1002/ejoc.201701601,Glycosidase Inhibitors,α- and β-galactopyranose configured analogues,Carba-Cyclophellitol Derivatives ,Competitive inhibitors of retaining β-galactosidases.,"Bind to the enzyme's active site, competitively inhibiting substrate binding and enzymatic activity."
2018,https://doi.org/10.1002/chem.201705469,Glycomimetics (heparin-related),Natural heparin,Heparin-related glycopolymers,"These glycomimetics function as anticoagulants by modulating the interaction with antithrombin III, enhancing its ability to inhibit coagulation factors","The glycopolymers exhibit anticoagulant activity that can surpass that of natural heparin, demonstrating improved efficacy in blood coagulation inhibition"
2018,https://doi.org/10.1002/chem.201705470,Glycomimetics (Vi antigen),Natural Vi polysaccharides,"Tetra-methylene or 1,2,3-triazole-linked oligosaccharide mimetics of Vi antigen","These mimetics are designed to bind to anti-Vi antibodies, potentially serving as vaccine candidates against Salmonella typhi","The antigenic activity of these mimetics is comparable to that of the natural tetrasaccharide, indicating their potential in vaccine development, although they do not fully replicate the natural structure"
2018,https://doi.org/10.1002/chem.201705471,Glycomimetics (β-(1→3) glucan mimetics),Natural β-(1→3) glucans,Hydroxylamine-based di- and tri-oligomers of β-(1→3) glucans,"These mimetics are designed to bind to complement receptors and stimulate immune responses, such as phagocytosis","The biological results indicate that these glycomimetics can stimulate phagocytosis in a length-dependent manner, with the trimer mimetic showing significant activity"
2018,https://doi.org/10.1002/chem.201705472,"Glycomimetics (specifically, pseudo-oligosaccharides)","Natural tetrasaccharides, specifically fragments of the Vi antigen",Pseudo-octasaccharides linked by either tetramethylene or triazole,"These pseudo-octasaccharides are designed to mimic natural Vi oligosaccharides and compete for binding to anti-Vi antibodies, aiding in vaccine development","The competitive ELISA assay showed that the antigenic activity of the pseudo-octasaccharides is similar to that of the natural tetrasaccharide, providing a useful starting point for Vi-based vaccine discovery"
2018,https://doi.org/10.1016/j.aca.2018.08.025,Monosaccharide (Galactose),Galactose,Carbohydrate-mimetic peptide (YYYYC),"Mimics galactose residues to bind galactose-recognizing proteins such as SBA, facilitating detection of target proteins and cells with galactose-terminal carbohydrate chains.","Acts as an electron-transfer sensor in electrochemical assays; interacts specifically with galactose-binding proteins and receptors on cells, enabling label-free detection of cancer cells and proteins related to galactose-binding."
2018,https://doi.org/10.1016/j.aca.2018.08.026,"Monosaccharides (Galactose, N-acetylgalactosamine)",N-acetylgalactosamine and galactose,Peptides with YXY sequences (general class),"Serve as carbohydrate-mimetic units capable of binding to carbohydrate-binding proteins (lectins and galectins), enabling the recognition of specific glycan structures on cell surfaces or glycoproteins, especially those altered in cancer.","Function as probes in electrochemical sensing systems; facilitate interactions with target proteins and cells that display specific carbohydrate epitopes, aiding in disease diagnostics like cancer cell detection"
2018,https://doi.org/10.1016/j.aca.2017.11.047,"Monosaccharide (specifically, a hexose).",Methyl α-D-mannopyranoside,MYWYPY,Inhibits the binding of methyl α-D-mannopyranoside to concanavalin A (ConA),"Interacts with the protein at or near the carbohydrate binding site, acting as an inhibitor"
2018,https://doi.org/10.1016/j.aca.2017.11.048,"Monosaccharide (specifically, a hexose).",Methyl α-D-mannopyranoside,DVFYPYPYASGS,"Interacts with ConA, mimicking the binding of carbohydrate",Binding constant reported to be 2.2 × 10⁴ L/mol; suppresses ConA-induced T-cell proliferation
2018,https://doi.org/10.1016/j.aca.2017.11.049,tumor-associated glycoproteins or glycolipids,Not explicitly mentioned,IFLLWQR,Targets properties of annexin for tumor targeting,Demonstrates specific tumor-targeting activity and serves as a vehicle for anti-cancer drugs
2018,https://doi.org/10.1016/j.aca.2017.11.050,galactose,Not explicitly mentioned,YYYY-C and YYYYY-C,Functions as an electron-transfer agent and interacts with carbohydrate-binding proteins,Demonstrates electroactivity in the context of molecular recognition
2018,https://doi.org/10.1016/j.aca.2017.11.051,Monosaccharide,Galactose,"YXY (where X can be alanine, glutamic acid, threonine, or tyrosine)",Selectively interacts with several galactose recognition proteins,"Peptides containing the YXY sequence were designed to evaluate the interaction with galactose-binding proteins, showing selective binding"
2018,https://doi.org/10.1016/j.aca.2017.11.052,Peptidoglycan-derived carbohydrate,N-acetylglucosaminyl-β1-4-N-acetylmuramyl-alanyl-d-isoglutamine (GMDP),Peptide mimics of N-acetylglucosaminyl-β1-4-N-acetylmuramyl-alanyl-d-isoglutamine (GMDP),Demonstrated adjuvant activities,Induces immune responses through the production of anti-carbohydrate antibodies
2019,https://doi.org/10.3390/biomimetics4030053,Glycan,Neuraminic acid,Oseltamivir (Tamiflu),Antiviral drug used for the treatment and prophylaxis of influenza A and B.,"Inhibits neuraminidase, an enzyme on the surface of the influenza virus, which is essential for the virus's replication and spread."
2019,https://doi.org/10.3390/biomimetics4030054,Glycan,Neuraminic acid,Zanamivir (Relenza),Antiviral drug used for the treatment of influenza A and B.,"Inhibits neuraminidase, preventing the release of new viral particles from infected cells."
2019,https://doi.org/10.3390/biomimetics4030055,Glycan,Transition state of glycosidic bond hydrolysis,Iminoglycosides,Used to inhibit glycosidases by mimicking the transition state of the enzymatic reaction.,"Binds to the active site of glycosidases with high affinity, preventing the enzyme from catalyzing the hydrolysis of glycosidic bonds."
2019,https://doi.org/10.3390/biomimetics4030056,Glycosaminoglycan (GAG),Heparin,Heparin mimetics,Anticoagulant used to prevent blood clots.,"Mimics heparin by interacting with antithrombin, enhancing its ability to inhibit thrombin and other proteases involved in blood clotting."
2019,https://doi.org/10.3390/biomimetics4030057,Glycan,Multivalent carbohydrate structure,Multivalent glycomimetics,Used to enhance binding affinity through multivalent interactions.,"Binds to multiple sites on a target protein or cell surface, increasing overall binding strength and efficacy."
2019,https://www.tandfonline.com/doi/full/10.2147/IJN.S213455#d1e223,peptides,Annexin A1,motif IF-7 (IF-7-MNC),"To deliver the chemotherapeutics through the nanoparticles, the delivery system should accumulate at the tumor site first and then penetrate through the interstitium into the interior",enhancing tumor targeting and promoting the penetration of the drug delivery system into tumor tissues
2019,https://doi.org/10.1007/s11130-019-00723-z,Carbohydrate-based fat mimetics,"Fats (specifically, saturated fats in bakery products)",Inulin,Inulin serves to reduce fat content in bakery products while providing similar textural and mouthfeel properties to fats,"Inulin promotes the endogenous formation of 3-MCPDE during baking, particularly at higher concentrations, due to the formation of Maillard products."
2019,https://doi.org/10.1007/s11130-019-00723-z,Carbohydrate-based fat mimetics,"Fats (specifically, saturated fats in bakery products)",Pectin,Pectin serves to reduce fat content in bakery products while providing similar textural and mouthfeel properties to fats,"Pectin helps maintain lower levels of glycidyl esters during baking and storage due to its ability to bind water and create a stable gel matrix, which affects the thermal stability of these compounds."
